HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,HW10,HW11,HW12,HW13,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Quiz6,Quiz7,Quiz8,Quiz9,Quiz10,Quiz11,Recitation1,Recitation2,Recitation3,Recitation4,Recitation5,Recitation7,Recitation8,Recitation9,Recitation11,Recitation12,Recitation13,Exam 1,Exam 2,Final Exam,Credit
43.75,91.42857143,95,63.125,60.71428571,69.75,75,39.58333333,70.83333333,59.16666667,26.25,80.18181818,60,5,2.5,6,4,0,0,0,0,10,2.5,3.333333333,1,1,1,1,1,1,1,1,1,1,1,47,58,26,F
97.5,89.28571429,83.33333333,84.73214286,92.85714286,86,90,97.08333333,100,85.62666667,93.335,86.62045455,97.5,10,7.5,8,9,10,10,5,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,54,94,90,A-
98.4375,100,100,75,95.83333333,100,100,81.25,96.66666667,93.33333333,92.08166667,86.21136364,87.5,10,5,10,8,6.666666667,10,3.333333333,10,10,7.5,10,1,1,0,1,0,1,1,1,0,1,1,84.5,100,87.5,A-
72.1875,66.66666667,91.66666667,81.25,82.5,98,83.75,93.33333333,91.66666667,50.835,65,79.45454545,48.5,0,10,8,10,10,10,6.666666667,10,10,10,10,1,1,0,1,1,1,1,1,1,1,1,69,87,55.5,C+
91.66666667,100,100,93.125,92.85714286,79.75,95,100,100,85.41666667,100,75.84772727,97.5,10,2.5,10,8,6.666666667,5,6.666666667,10,10,10,10,1,1,1,1,1,1,1,0,0,1,1,92,95,77,A-
74.47916667,55.95238095,83.33333333,70.98214286,95.83333333,99,86.66666667,82.91666667,96.66666667,83.75,87.91666667,90,71.5,10,10,8,9,10,5,6.666666667,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,92.5,100,95,A
88.54166667,100,100,85.625,91.66666667,79.75,93.75,87.91666667,100,69.16666667,100,66.09090909,97.5,5,7.5,10,6,6.666666667,0,8.333333333,10,10,7.5,10,1,1,1,1,1,1,1,1,0,1,1,64.5,84,83,B+
69.47916667,100,91.66666667,77.23214286,92.85714286,83.5,93.75,95.83333333,96.66666667,93.75,98.335,97.63636364,96.5,5,7.5,8,10,6.666666667,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,52.5,47,67,B
57.29166667,65.47619048,91.66666667,54.19642857,38.80952381,78.75,90,48.75,80,45.00333333,20.55833333,86.425,42.5,5,10,8,8,0,10,3.333333333,10,10,7.5,0,1,1,1,1,1,0,1,1,0,1,1,28,81,57,D
70.625,92.85714286,91.66666667,62.5,91.19047619,79.75,85,85.83333333,93.33333333,86.875,75.83333333,69.90909091,74,0,10,4,7,10,10,1.666666667,10,10,2.5,10,1,1,1,1,1,1,1,1,1,1,0,54,63,29.5,C-
